Subject,Acc_Overall_Raw(%),Acc_Overall_V4(%),Acc_Overall_Delta(pp),N1_Precision_Raw(%),N1_Precision_V4(%),N1_Precision_Delta(pp),N2_Precision_Raw(%),N2_Precision_V4(%),N2_Precision_Delta(pp),N3_Precision_Raw(%),N3_Precision_V4(%),N3_Precision_Delta(pp),Time_Total(s),loss_delta_N1,loss_theta_N1,loss_sigma_N1,loss_delta_N2,loss_theta_N2,loss_sigma_N2,loss_delta_N3,loss_theta_N3,loss_sigma_N3
subject10,57.26915520628684,40.27504911591356,-16.99410609037328,36.666666666666664,15.18987341772152,-21.476793248945143,79.54545454545455,77.8688524590164,-1.6766020864381517,51.985559566786996,63.507109004739334,11.521549437952338,58.34830355644226,1.0805882867535719,11.68760527010445,53.64200465784814,-2.952187209857298,21.15986387853853,52.59161231569352,-15.982151307327674,21.249121603422022,66.21022169927218
subject11,71.57057654075547,54.17495029821073,-17.395626242544736,26.373626373626376,13.559322033898304,-12.814304339728071,87.90560471976401,89.7590361445783,1.8534314248142891,66.76829268292683,68.79194630872483,2.023653625798005,47.49811124801636,-2.3563153029347523,19.827377213349905,57.259090546045584,-9.391776379330858,22.088163218541006,51.303123792835116,-22.205509616936432,20.77360640251206,60.7915882557592
subject12,75.65036420395421,69.30280957336107,-6.347554630593137,46.15384615384615,10.714285714285714,-35.43956043956044,87.62886597938144,93.5251798561151,5.896313876733657,48.10126582278481,50.76923076923077,2.667964946445956,34.483521699905396,-10.714204946892298,25.783660427624262,57.001352393230164,-20.59356547169833,17.455325327685777,47.64706268662691,-27.508411008914536,13.056767120811735,45.133181670041374
subject13,72.37318840579711,57.15579710144928,-15.217391304347828,52.17391304347826,33.33333333333333,-18.84057971014493,77.86116322701689,84.97109826589595,7.109935038879058,53.068592057761734,44.086021505376344,-8.98257055238539,39.47045183181763,-5.717752384803188,15.81490658267676,46.88671031553726,-10.685525218747866,19.547575112682868,33.521893029459655,-21.818600207242607,26.915866274707916,70.17901347993914
subject14,80.73852295409182,71.55688622754491,-9.181636726546913,53.84615384615385,0.0,-53.84615384615385,82.17054263565892,92.57294429708223,10.402401661423312,75.0,66.42857142857143,-8.57142857142857,33.829800844192505,-12.62982645922428,30.994176213716546,68.1860194505218,-21.301728089937253,15.760871660508553,36.07783974580802,-28.916325885211442,17.3368948410502,60.71065604430343
subject15,80.57553956834532,78.29736211031175,-2.278177458033568,49.01960784313725,50.0,0.9803921568627487,80.53691275167785,84.375,3.8380872483221538,81.4070351758794,78.68020304568529,-2.7268321301941114,33.52043414115906,-2.544812517231726,0.16797024363204105,34.19621288858822,-9.683312875192982,14.0239739905065,30.224011302839983,-28.45246490114815,22.744474804422467,65.56677159176046
subject16,84.67995802728227,56.24344176285414,-28.43651626442813,34.285714285714285,5.0,-29.285714285714285,91.13149847094802,85.49618320610686,-5.635315264841154,84.1025641025641,73.2620320855615,-10.840532017002602,36.519545793533325,-6.169934836862037,24.570456738583868,64.92496571444791,-12.284953199637869,22.861886430365757,50.75654090803129,-23.256177976463075,22.581414670484136,70.28480851682625
subject17,58.55130784708249,17.20321931589537,-41.348088531187116,10.1010101010101,0.0,-10.1010101010101,95.28023598820059,52.0,-43.28023598820059,45.07936507936508,39.5,-5.579365079365083,35.88644003868103,-0.7514485873518945,24.5096914165609,65.99672747192587,-9.083278380638124,31.39873024687715,79.96231016873493,-19.705463674803607,30.081958038761286,76.7726835968616
subject18,74.06679764243614,41.2573673870334,-32.809430255402745,12.857142857142856,0.0,-12.857142857142856,92.94117647058823,74.22680412371135,-18.714372346876885,71.9298245614035,61.648745519713266,-10.28107904169024,34.92936158180237,-2.2032356767390993,28.061616690782536,80.05492617935987,-11.700949305508106,27.61252213080045,70.73239441568904,-18.91681590048879,25.515253362888135,71.18358657075576
subject19,67.27976766698936,38.915779283639885,-28.363988383349472,5.263157894736842,0.0,-5.263157894736842,90.18181818181819,67.27272727272727,-22.90909090909092,63.711911357340725,58.160237388724035,-5.55167396861669,34.23775768280029,3.36711166162834,25.943061591144374,72.67704301802011,-12.288099938456497,27.339588091121225,78.97404210142813,-18.922906564388313,23.05254555494181,72.2406476423452
subject20,81.83406113537119,61.135371179039296,-20.69868995633189,63.829787234042556,12.068965517241379,-51.760821716801175,87.82608695652175,91.37254901960785,3.5464620630860964,65.56776556776556,57.761732851985556,-7.806032715780006,43.41681718826294,-6.627455049997527,27.634624378206745,67.71129047732808,-16.899821587412735,25.590477500427372,49.54838636257883,-23.95985430245407,23.90114675383524,67.36410544126866
subject9,87.05035971223022,62.589928057553955,-24.460431654676263,38.70967741935484,6.741573033707865,-31.968104385646974,93.6734693877551,95.52238805970148,1.8489186719463788,79.91803278688525,67.88321167883211,-12.034821108053137,36.7666597366333,-7.259588453187124,24.602613957477427,56.055454865101225,-13.43439304885079,21.68383222091163,46.69093490078717,-28.834697017223395,20.99567899808269,66.0861122507881
AVERAGE,74.30329990921854,54.008996784400615,-20.294303124817922,35.773358643242496,12.217279420849009,-23.556079222393496,87.22356910956547,82.4135635587119,-4.810005550853563,65.553350730122,60.873253465595376,-4.680097264526627,39.07560044527054,-4.3772395222368345,21.63314672698832,60.38264983149619,-12.524965892105726,22.210234150747237,52.335845977542725,-23.206614863550175,22.35039403549331,66.04361472999345
